Father,Mother,Gender,Height
78.5,67.0,M,73.2
78.5,67.0,F,69.2
78.5,67.0,F,69.0
78.5,67.0,F,69.0
75.5,66.5,M,73.5
75.5,66.5,M,72.5
75.5,66.5,F,65.5
75.5,66.5,F,65.5
75.0,64.0,M,71.0
75.0,64.0,F,68.0
75.0,64.0,M,70.5
75.0,64.0,M,68.5
75.0,64.0,F,67.0
75.0,64.0,F,64.5
75.0,64.0,F,63.0
75.0,58.5,M,72.0
75.0,58.5,M,69.0
75.0,58.5,M,68.0
75.0,58.5,F,66.5
75.0,58.5,F,62.5
75.0,58.5,F,62.5
74.0,68.0,F,69.5
74.0,68.0,M,76.5
74.0,68.0,M,74.0
74.0,68.0,M,73.0
74.0,68.0,M,73.0
74.0,68.0,F,70.5
74.0,68.0,F,64.0
74.0,66.5,F,70.5
74.0,66.5,F,68.0
74.0,66.5,F,66.0
74.5,66.0,F,66.0
74.0,65.5,F,65.5
74.0,62.0,M,74.0
74.0,62.0,M,70.0
74.0,62.0,F,68.0
74.0,62.0,F,67.0
74.0,62.0,F,67.0
74.0,62.0,F,66.0
74.0,62.0,F,63.5
74.0,62.0,F,63.0
74.0,61.0,F,65.0
73.0,67.0,M,68.0
73.0,67.0,M,67.0
73.0,66.5,M,71.0
73.0,66.5,M,70.5
73.0,66.5,F,66.7
73.0,65.0,M,72.0
73.0,65.0,M,70.5
73.0,65.0,M,70.2
73.0,65.0,M,70.2
73.0,65.0,M,69.2
73.0,65.0,F,68.7
73.0,65.0,F,66.5
73.0,65.0,F,64.5
73.0,65.0,F,63.5
73.0,64.5,M,74.0
73.0,64.5,M,73.0
73.0,64.5,M,71.5
73.0,64.5,M,62.5
73.0,64.5,F,66.5
73.0,64.5,F,62.3
73.0,64.0,F,66.0
73.0,64.0,F,64.5
73.0,64.0,F,64.0
73.2,63.0,F,62.7
72.7,69.0,M,73.2
72.7,69.0,M,73.0
72.7,69.0,M,72.7
72.7,69.0,F,70.0
72.7,69.0,F,69.0
72.7,69.0,F,68.5
72.7,69.0,F,68.0
72.7,69.0,F,66.0
72.0,68.0,M,73.0
72.0,68.0,F,68.5
72.0,68.0,F,68.0
72.0,67.0,M,73.0
72.0,67.0,M,71.0
72.0,67.0,F,67.0
72.0,65.0,M,74.2
72.0,65.0,M,70.5
72.0,65.0,M,69.5
72.0,65.0,F,66.0
72.0,65.0,F,65.5
72.0,65.0,F,65.0
72.0,65.0,F,65.0
72.0,65.5,F,65.5
72.0,64.0,F,66.0
72.0,64.0,F,63.0
72.0,63.0,M,70.5
72.0,63.0,M,70.5
72.0,63.0,M,69.0
72.0,63.0,F,65.0
72.0,63.0,F,63.0
72.0,63.0,M,69.0
72.0,63.0,M,67.0
72.0,63.0,F,63.0
72.0,63.0,M,73.0
72.0,63.0,M,67.0
72.0,63.0,F,70.5
72.0,63.0,F,70.0
72.0,63.0,F,66.5
72.0,63.0,F,63.0
72.5,63.5,F,67.5
72.5,63.5,F,67.2
72.5,63.5,F,66.7
72.0,62.0,F,64.0
72.5,62.0,M,71.0
72.5,62.0,M,70.0
72.5,62.0,M,70.0
72.5,62.0,F,66.0
72.5,62.0,F,65.0
72.5,62.0,F,65.0
72.0,62.0,M,74.0
72.0,62.0,M,72.0
72.0,62.0,M,69.0
72.0,62.0,F,67.5
72.0,62.0,F,63.5
72.0,62.0,M,72.0
72.0,62.0,M,71.5
72.0,62.0,M,71.5
72.0,62.0,M,70.0
72.0,62.0,F,68.0
72.0,61.0,F,65.7
71.0,69.0,M,78.0
71.0,69.0,M,74.0
71.0,69.0,M,73.0
71.0,69.0,M,72.0
71.0,69.0,F,67.0
71.0,67.0,M,73.2
71.0,67.0,M,73.0
71.0,67.0,M,69.0
71.0,67.0,F,67.0
71.0,66.0,M,70.0
71.0,66.0,F,67.0
71.0,66.0,F,67.0
71.0,66.0,F,66.5
71.0,66.0,M,70.0
71.0,66.0,M,69.0
71.0,66.0,M,68.5
71.0,66.0,F,66.0
71.0,66.0,F,64.5
71.0,66.0,F,63.0
71.0,66.0,M,71.0
71.0,66.0,F,67.0
71.0,66.0,M,76.0
71.0,66.0,M,72.0
71.0,66.0,M,71.0
71.0,66.0,M,66.0
71.0,66.0,F,66.0
71.7,65.5,M,70.5
71.0,65.5,M,72.0
71.0,65.5,M,72.0
71.0,65.5,M,71.0
71.0,65.5,M,69.0
71.0,65.5,F,66.0
71.0,65.5,F,65.0
71.5,65.5,M,73.0
71.5,65.5,F,65.2
71.5,65.0,M,68.5
71.5,65.0,M,67.7
71.0,65.0,M,68.0
71.0,65.0,M,68.0
71.0,65.0,F,62.0
71.0,64.0,F,68.0
71.0,64.0,F,68.0
71.0,64.0,F,67.5
71.0,64.0,F,66.5
71.0,64.0,F,66.5
71.0,64.0,F,66.0
71.0,64.0,F,65.5
71.0,64.0,F,65.0
71.7,64.5,M,72.0
71.7,64.5,M,71.0
71.7,64.5,M,70.5
71.7,64.5,F,67.0
71.0,64.0,M,68.0
71.0,64.0,M,68.0
71.0,64.0,M,68.0
71.5,64.5,M,72.0
71.5,64.5,M,71.0
71.5,64.5,M,70.0
71.5,64.5,F,66.0
71.5,64.5,F,64.5
71.5,64.5,F,64.5
71.5,64.5,F,62.0
71.2,63.0,F,67.5
71.2,63.0,F,64.5
71.0,63.5,M,71.0
71.0,63.5,M,67.0
71.0,63.5,F,66.0
71.0,63.5,F,65.0
71.0,63.5,F,63.5
71.0,63.0,M,71.0
71.0,63.0,M,70.0
71.0,63.0,M,70.0
71.0,63.0,M,64.0
71.0,63.0,F,65.0
71.0,63.0,F,65.0
71.0,63.0,F,64.0
71.0,63.0,F,63.0
71.0,63.0,F,63.0
71.0,63.0,M,71.0
71.0,63.0,M,71.0
71.0,63.0,M,70.0
71.0,63.0,F,63.5
71.0,62.0,M,71.0
71.0,62.0,M,70.0
71.0,62.0,F,64.5
71.0,62.0,F,62.5
71.0,62.0,F,61.5
71.0,62.0,M,72.0
71.0,62.0,M,70.5
71.0,62.0,M,70.5
71.0,62.0,F,64.5
71.0,62.0,F,60.0
71.0,62.5,M,70.0
71.0,62.5,F,64.0
71.0,62.5,F,64.0
71.0,62.5,F,64.0
71.0,62.5,F,62.5
71.0,62.0,M,70.5
71.0,62.0,M,70.0
71.0,62.0,M,69.0
71.0,62.0,M,69.0
71.0,62.0,M,66.0
71.0,62.0,F,64.5
71.0,62.0,F,64.0
71.0,61.0,F,62.0
71.0,58.0,M,71.5
71.0,58.0,M,69.0
70.0,69.0,M,71.0
70.0,69.0,M,70.0
70.0,69.0,M,69.0
70.0,69.0,F,69.0
70.0,69.0,M,70.0
70.0,69.0,M,68.7
70.0,69.0,F,68.0
70.0,69.0,F,66.0
70.0,69.0,F,64.0
70.0,69.0,F,62.0
70.0,68.0,M,75.0
70.0,67.0,M,70.0
70.0,67.0,M,69.0
70.0,67.0,F,66.0
70.0,67.0,F,64.0
70.0,67.0,F,60.0
70.0,67.0,F,67.5
70.0,66.5,M,73.0
70.0,66.5,M,72.0
70.0,66.5,M,72.0
70.0,66.5,M,66.5
70.0,66.5,F,69.2
70.0,66.5,F,67.2
70.0,66.5,F,66.5
70.0,66.5,F,66.0
70.0,66.5,F,66.0
70.0,66.5,F,64.2
70.0,66.5,F,63.7
70.5,65.0,M,72.0
70.5,65.0,M,70.2
70.5,65.0,M,69.0
70.5,65.0,M,68.5
70.5,65.0,F,68.0
70.5,65.0,F,65.0
70.5,65.0,F,61.5
70.5,65.0,F,61.0
70.5,65.0,F,61.0
70.0,65.0,M,73.0
70.0,65.0,M,72.0
70.0,65.0,M,70.5
70.0,65.0,M,65.0
70.0,65.0,M,65.0
70.0,65.0,F,64.5
70.0,65.0,F,63.0
70.0,65.0,F,62.0
70.0,65.0,M,67.0
70.0,65.0,M,65.0
70.0,65.0,F,64.5
70.0,65.0,F,62.5
70.0,65.0,F,62.5
70.0,65.0,M,70.0
70.0,65.0,M,70.0
70.0,65.0,F,67.0
70.0,65.0,F,65.0
70.0,65.0,F,65.0
70.0,65.0,F,63.0
70.0,65.0,M,79.0
70.0,65.0,M,75.0
70.0,65.0,M,71.0
70.0,65.0,F,69.0
70.0,65.0,F,67.0
70.0,65.0,F,65.7
70.0,65.0,F,62.0
70.0,65.0,M,73.0
70.0,65.0,M,72.5
70.0,65.0,F,65.0
70.0,65.0,M,69.0
70.0,65.0,M,69.0
70.0,64.7,M,72.0
70.0,64.7,M,70.0
70.0,64.7,M,68.7
70.0,64.7,F,66.5
70.0,64.7,F,65.5
70.0,64.7,F,64.7
70.0,64.7,F,64.5
70.0,64.0,M,70.7
70.0,64.0,M,70.0
70.0,64.0,M,68.0
70.0,64.0,M,67.0
70.0,64.0,M,66.0
70.0,64.0,M,65.0
70.0,64.0,F,67.0
70.0,64.0,M,70.0
70.0,64.0,M,68.0
70.0,64.0,M,66.7
70.0,64.0,F,65.5
70.0,64.2,M,72.0
70.0,64.2,M,70.0
70.0,64.2,F,62.5
70.0,64.2,F,61.2
70.0,64.2,F,60.1
70.5,64.0,M,74.0
70.5,64.0,M,69.5
70.5,64.0,M,69.0
70.5,64.0,M,68.0
70.5,64.0,M,68.0
70.5,64.0,M,68.0
70.5,64.0,F,65.5
70.5,64.0,F,65.0
70.5,64.5,F,60.0
70.0,64.0,M,68.0
70.0,64.0,F,65.0
70.0,64.0,F,64.0
70.0,64.0,F,62.0
70.0,64.0,M,71.0
70.0,64.0,M,70.0
70.0,64.0,M,70.0
70.0,64.0,M,70.0
70.0,64.0,M,69.5
70.0,64.0,M,68.5
70.0,64.0,F,69.0
70.0,64.0,F,65.0
70.0,64.0,F,64.0
70.0,63.7,M,70.0
70.0,63.7,M,67.0
70.0,63.7,M,65.5
70.0,63.7,F,63.7
70.0,63.7,F,63.2
70.0,63.7,F,62.5
70.0,63.7,F,62.2
70.0,63.7,F,61.0
70.5,63.0,M,72.5
70.5,63.0,M,69.0
70.5,63.0,M,67.0
70.5,63.0,F,64.5
70.5,63.0,F,64.0
70.0,63.5,M,71.0
70.0,63.5,M,67.5
70.0,63.5,F,67.5
70.0,63.5,F,63.5
70.0,63.0,M,68.0
70.0,63.0,M,67.0
70.0,63.0,F,63.7
70.0,63.0,F,62.0
70.0,63.0,M,70.0
70.0,63.0,M,66.5
70.0,63.0,F,62.0
70.0,63.0,F,61.0
70.5,62.0,M,72.0
70.5,62.0,M,70.0
70.5,62.0,M,69.5
70.5,62.0,M,69.5
70.5,62.0,M,68.0
70.5,62.0,F,65.0
70.5,62.0,F,64.0
70.5,62.0,F,63.0
70.3,62.7,M,70.7
70.3,62.7,M,69.7
70.3,62.7,M,69.2
70.3,62.7,M,65.2
70.3,62.7,F,64.0
70.3,62.7,F,63.5
70.3,62.7,F,63.2
70.5,62.0,M,72.0
70.5,62.0,M,72.0
70.5,62.0,F,60.0
70.0,61.0,M,71.2
70.0,61.0,M,67.0
70.0,60.0,M,67.0
70.0,60.0,M,64.5
70.0,60.0,F,65.0
70.0,60.0,F,63.0
70.0,60.0,F,65.0
70.0,60.0,F,65.0
70.0,58.5,M,71.5
70.0,58.5,M,64.5
70.0,58.5,F,63.0
70.0,58.0,M,72.0
70.0,58.0,M,66.0
70.0,58.0,F,66.0
70.0,58.0,F,65.0
70.0,58.0,F,63.0
69.0,68.5,M,75.0
69.0,68.5,M,71.0
69.0,68.5,M,70.0
69.0,68.5,F,66.0
69.0,68.5,F,66.0
69.0,68.5,F,65.5
69.0,68.5,F,65.0
69.0,68.5,F,65.0
69.0,68.5,F,64.0
69.0,68.5,F,64.0
69.0,67.0,F,64.0
69.0,66.0,M,73.0
69.0,66.0,M,72.0
69.0,66.0,M,71.7
69.0,66.0,M,71.5
69.0,66.0,F,65.5
69.0,66.0,F,65.0
69.0,66.0,F,62.7
69.0,66.0,F,62.5
69.0,66.0,M,71.2
69.0,66.0,M,71.0
69.0,66.0,M,70.0
69.0,66.7,M,75.0
69.0,66.7,M,74.0
69.0,66.7,M,72.0
69.0,66.7,M,68.5
69.0,66.7,M,67.0
69.0,66.7,M,66.0
69.0,66.0,M,70.0
69.0,66.0,M,68.5
69.0,66.0,M,68.0
69.0,66.0,F,65.0
69.0,66.0,F,63.0
69.0,66.0,F,62.5
69.0,66.5,M,73.0
69.0,66.5,M,71.0
69.0,66.5,M,70.5
69.0,66.5,M,70.5
69.0,66.5,F,61.0
69.5,66.5,M,70.5
69.5,66.5,M,67.5
69.5,66.5,F,64.5
69.5,66.5,F,64.0
69.0,66.5,M,71.0
69.0,66.5,F,68.5
69.0,66.5,F,67.5
69.0,66.5,F,66.0
69.0,66.5,F,63.0
69.0,66.5,F,63.0
69.5,66.0,M,71.0
69.5,66.0,M,71.0
69.5,66.0,M,70.5
69.5,66.0,M,70.5
69.5,66.0,F,66.5
69.5,66.0,F,65.5
69.5,66.0,F,64.5
69.0,66.0,M,73.0
69.0,66.0,M,72.0
69.0,66.0,M,69.0
69.0,66.0,M,69.0
69.0,66.0,F,66.5
69.0,66.0,F,65.5
69.0,66.0,F,65.5
69.0,66.0,F,65.0
69.0,66.0,F,64.0
69.0,65.0,M,70.0
69.0,65.0,M,68.5
69.0,65.0,M,67.0
69.0,65.0,F,65.0
69.0,65.0,F,64.0
69.0,65.0,F,63.5
69.0,65.0,F,61.0
69.5,64.5,M,69.7
69.5,64.5,M,68.0
69.5,64.5,M,60.0
69.5,64.5,F,65.2
69.5,64.5,F,64.5
69.5,64.5,F,63.7
69.5,64.5,F,60.0
69.2,64.0,M,71.7
69.2,64.0,M,66.5
69.2,64.0,F,65.0
69.2,64.0,F,63.5
69.0,63.0,M,69.0
69.0,63.0,F,67.5
69.0,63.0,F,63.5
69.0,63.0,M,72.0
69.0,63.0,M,73.0
69.0,63.0,M,70.0
69.0,63.0,M,70.0
69.0,63.0,M,64.0
69.0,63.0,F,66.0
69.0,63.0,F,62.0
69.0,63.5,M,70.5
69.0,63.5,M,67.0
69.0,63.5,M,66.0
69.0,63.5,F,65.0
69.0,63.5,F,63.0
69.0,63.5,F,62.0
69.0,63.5,F,61.0
69.0,63.5,M,70.5
69.0,63.5,F,63.7
69.0,63.5,F,63.0
69.7,62.0,F,62.5
69.5,62.0,M,73.0
69.5,62.0,M,72.0
69.5,62.0,M,69.0
69.0,62.0,M,73.0
69.0,62.0,M,71.0
69.0,62.0,M,71.0
69.0,62.0,M,69.0
69.0,62.0,F,63.0
69.0,62.5,M,71.0
69.0,62.5,M,70.0
69.0,62.5,M,70.0
69.0,62.5,M,69.0
69.0,62.5,F,63.5
69.0,62.5,F,62.5
69.0,62.5,F,62.5
69.0,62.5,F,62.0
69.0,62.0,M,72.0
69.0,62.0,M,68.0
69.0,62.0,F,66.0
69.0,62.0,F,66.0
69.5,61.0,M,70.0
69.5,61.0,M,69.5
69.5,61.0,M,69.0
69.5,61.0,F,63.0
69.5,61.0,F,62.0
69.0,61.0,M,68.0
69.0,61.0,M,68.0
69.0,61.0,M,67.5
69.0,61.0,M,64.0
69.0,61.0,M,63.0
69.0,61.0,M,63.0
69.0,61.0,F,63.5
69.0,61.0,F,62.0
69.0,61.0,F,62.0
69.0,60.0,M,70.5
69.0,60.0,F,68.0
69.0,60.0,F,62.5
69.0,60.0,M,69.0
69.0,60.0,M,66.0
69.0,60.0,F,61.7
69.0,60.0,F,60.5
69.0,60.5,M,69.5
68.7,70.5,M,71.0
68.7,70.5,F,61.7
68.5,67.0,M,73.0
68.5,67.0,M,71.0
68.5,67.0,F,67.0
68.5,66.5,M,70.0
68.5,66.5,M,69.0
68.5,66.5,M,69.0
68.5,66.5,M,68.7
68.5,66.5,M,68.5
68.5,66.5,M,68.5
68.5,66.5,M,68.0
68.5,66.5,M,68.0
68.5,66.5,M,68.0
68.5,66.5,F,63.2
68.0,65.0,M,67.5
68.0,65.0,M,66.0
68.0,65.5,M,66.0
68.0,65.5,F,64.0
68.0,65.5,M,71.7
68.0,65.5,M,71.5
68.0,65.5,M,70.7
68.0,65.5,M,65.5
68.0,65.5,F,66.5
68.0,65.5,F,65.2
68.0,65.5,F,61.5
68.0,65.0,M,72.0
68.0,65.0,M,72.0
68.0,65.0,F,68.0
68.0,65.0,F,66.0
68.5,65.0,M,69.2
68.5,65.0,M,68.0
68.5,65.0,M,66.0
68.5,65.0,M,66.0
68.5,65.0,F,62.0
68.5,65.0,F,61.5
68.5,65.0,F,61.0
68.5,65.0,F,60.0
68.0,64.0,M,71.0
68.0,64.0,M,68.0
68.0,64.0,M,68.0
68.0,64.0,M,67.0
68.0,64.0,F,65.0
68.0,64.0,F,64.0
68.0,64.0,F,63.0
68.0,64.0,F,63.0
68.0,64.0,F,62.0
68.0,64.0,F,61.0
68.0,64.0,M,66.0
68.0,64.0,M,63.0
68.0,64.0,F,65.5
68.0,64.0,F,62.0
68.0,64.0,M,71.2
68.0,64.0,M,71.2
68.0,64.0,M,69.0
68.0,64.0,M,68.5
68.0,64.0,F,62.5
68.0,64.5,F,62.0
68.0,64.0,M,69.0
68.0,64.0,M,67.0
68.0,64.0,M,66.0
68.0,64.0,F,66.0
68.0,64.0,F,66.0
68.0,64.0,F,65.0
68.0,64.0,F,65.0
68.0,64.0,F,65.0
68.0,64.0,F,64.0
68.0,64.0,F,63.0
68.0,63.0,M,70.5
68.0,63.0,M,70.0
68.0,63.0,M,68.0
68.0,63.0,M,66.0
68.0,63.0,M,66.0
68.0,63.0,F,66.0
68.0,63.0,F,62.0
68.0,63.0,F,61.5
68.5,63.5,M,73.5
68.5,63.5,M,70.0
68.5,63.5,M,69.5
68.5,63.5,F,65.5
68.0,63.0,M,67.0
68.0,63.0,M,70.0
68.0,63.0,M,68.0
68.0,63.0,F,64.5
68.0,63.0,F,64.0
68.0,63.0,M,71.0
68.0,63.0,M,68.0
68.0,63.0,M,66.0
68.0,63.0,M,65.5
68.0,63.0,M,65.0
68.0,63.0,F,63.0
68.0,63.0,F,62.0
68.0,63.0,F,62.0
68.0,63.0,M,67.0
68.0,63.0,M,67.0
68.0,63.0,M,66.0
68.0,63.0,F,64.0
68.0,63.0,F,63.5
68.0,63.0,F,61.0
68.5,63.5,M,68.2
68.0,63.0,M,70.0
68.2,63.5,M,70.0
68.2,63.5,M,69.0
68.2,63.5,M,67.0
68.2,63.5,M,65.5
68.2,63.5,F,64.5
68.0,62.5,M,68.5
68.7,62.0,M,67.7
68.7,62.0,F,61.7
68.0,62.5,M,66.5
68.0,61.0,M,68.5
68.0,61.0,M,68.0
68.0,61.0,M,64.0
68.0,61.0,F,63.5
68.0,61.0,F,63.0
68.0,60.2,M,66.7
68.0,60.0,M,64.0
68.0,60.0,F,61.0
68.0,60.0,F,61.0
68.0,60.0,F,60.0
68.0,60.0,F,60.0
68.0,60.0,F,60.0
68.0,60.0,F,56.0
68.0,60.0,M,67.5
68.0,60.0,M,67.0
68.0,60.0,M,66.5
68.0,60.0,F,60.0
68.5,59.0,M,69.0
68.0,59.0,M,68.0
68.0,59.0,M,65.0
68.0,59.0,M,64.7
68.0,59.0,M,64.0
68.0,59.0,M,64.0
68.0,59.0,M,63.0
68.0,59.0,F,65.0
68.0,59.0,F,65.0
68.0,59.0,F,62.0
68.0,59.0,F,61.0
67.0,66.2,M,72.7
67.0,66.2,M,72.7
67.0,66.2,M,71.5
67.0,66.2,F,65.5
67.0,66.2,F,63.5
67.0,66.5,M,71.0
67.0,65.0,M,69.7
67.0,65.0,M,67.5
67.0,65.0,F,65.5
67.0,65.0,F,65.0
67.0,65.0,F,64.5
67.0,65.0,F,63.5
67.0,65.5,M,70.0
67.0,65.5,M,69.0
67.0,65.5,F,65.5
67.0,65.5,F,65.5
67.0,65.5,F,63.0
67.0,65.5,M,70.0
67.0,65.5,M,67.7
67.0,65.5,F,63.0
67.0,65.5,F,60.0
67.0,65.0,M,65.0
67.0,65.0,F,62.0
67.0,65.0,F,62.0
67.5,65.0,M,71.0
67.5,65.0,M,69.0
67.5,65.0,F,64.0
67.5,65.0,F,64.0
67.5,65.0,F,63.0
67.5,65.0,F,63.0
67.5,65.0,F,63.0
67.5,65.0,F,63.0
67.5,65.0,F,63.0
67.5,65.0,F,62.5
67.5,65.0,F,62.0
67.0,64.0,M,71.5
67.0,64.0,M,70.0
67.0,64.0,M,67.0
67.0,64.0,M,67.0
67.0,63.5,M,71.0
67.0,63.5,M,70.2
67.0,63.5,M,69.2
67.0,63.5,M,68.5
67.0,63.5,M,68.0
67.0,63.5,M,67.0
67.0,63.5,M,65.5
67.0,63.5,F,63.5
67.0,63.0,M,69.0
67.0,63.0,M,68.0
67.0,63.0,F,63.0
67.5,62.0,M,70.0
67.5,62.0,M,69.5
67.5,62.0,M,69.0
67.5,62.0,M,68.5
67.5,62.0,F,66.0
67.0,61.0,M,67.0
66.0,67.0,M,70.5
66.0,67.0,M,70.5
66.0,67.0,M,67.0
66.0,67.0,M,66.0
66.0,67.0,M,66.0
66.0,67.0,F,62.0
66.0,67.0,F,62.0
66.0,67.0,F,61.5
66.0,67.0,M,72.0
66.0,67.0,M,65.0
66.0,67.0,M,65.0
66.0,67.0,F,67.0
66.0,67.0,F,64.0
66.0,67.0,F,64.0
66.0,67.0,F,62.0
66.0,67.0,F,60.0
66.0,67.0,F,60.0
66.0,66.0,M,66.0
66.0,66.0,M,65.0
66.0,66.0,F,67.0
66.0,66.0,F,66.5
66.0,66.0,F,65.5
66.0,66.0,M,72.0
66.0,66.0,M,68.0
66.0,66.0,F,66.0
66.0,66.0,F,65.0
66.0,66.0,F,62.0
66.0,66.0,F,61.0
66.5,65.0,M,68.7
66.5,65.0,M,68.5
66.5,65.0,M,66.5
66.5,65.0,M,64.5
66.5,65.0,F,62.5
66.5,65.0,F,60.5
66.5,65.0,F,60.5
66.5,65.0,F,57.5
66.0,65.5,M,72.0
66.0,65.5,M,71.0
66.0,65.5,M,67.0
66.0,65.5,F,66.0
66.0,65.5,F,65.0
66.0,63.0,M,70.0
66.0,63.5,F,64.5
66.0,63.5,F,62.0
66.5,63.0,M,67.2
66.5,63.0,M,67.0
66.5,63.0,M,65.0
66.5,63.0,F,65.0
66.5,63.0,F,65.0
66.5,63.0,F,63.0
66.5,62.5,M,70.0
66.5,62.5,M,68.0
66.5,62.5,F,63.5
66.5,62.5,F,62.5
66.5,62.5,F,62.5
66.5,62.5,F,62.5
66.5,62.5,F,62.5
66.0,61.5,M,70.0
66.0,60.0,M,68.0
66.0,60.0,M,67.0
66.0,60.0,M,65.0
66.0,60.0,F,60.0
66.0,60.0,M,65.0
66.0,59.0,M,68.0
66.0,59.0,M,67.0
66.0,59.0,M,66.5
66.0,59.0,M,66.0
66.0,59.0,M,65.7
66.0,59.0,M,65.5
66.0,59.0,M,65.0
66.0,59.0,F,65.0
66.0,59.0,F,64.0
66.0,59.0,F,63.0
66.0,59.0,F,62.0
66.0,59.0,F,61.0
66.0,59.0,F,60.0
66.0,59.0,F,58.0
66.0,59.0,F,57.0
65.0,67.0,M,66.5
65.0,67.0,M,66.0
65.0,67.0,M,66.0
65.0,67.0,F,65.0
65.0,67.0,F,63.0
65.0,66.0,M,63.0
65.0,66.0,F,63.0
65.0,66.0,F,63.0
65.0,66.0,F,60.0
65.0,65.0,M,69.0
65.0,65.0,M,68.0
65.0,65.0,M,68.0
65.0,65.0,F,65.0
65.0,65.0,F,65.0
65.0,65.0,F,62.0
65.0,65.0,F,62.0
65.0,65.0,F,61.0
65.0,65.0,F,59.0
65.0,65.5,M,70.7
65.0,65.5,F,65.5
65.0,65.0,M,69.2
65.0,65.0,M,69.0
65.0,65.0,M,68.0
65.0,65.0,M,67.7
65.0,65.0,F,64.5
65.0,65.0,F,60.5
65.0,64.0,M,67.0
65.0,64.0,M,67.0
65.0,64.0,F,64.0
65.0,64.0,F,64.0
65.0,64.0,F,62.5
65.0,64.0,F,60.5
65.0,63.0,M,70.0
65.0,63.0,F,63.0
65.0,63.0,M,66.0
65.0,63.0,M,66.0
65.0,63.0,F,63.0
65.5,63.0,M,71.0
65.5,63.0,M,71.0
65.5,63.0,M,69.0
65.5,63.0,F,63.5
65.5,60.0,M,68.0
65.5,60.0,M,68.0
65.5,60.0,M,67.0
65.5,60.0,M,67.0
65.5,60.0,F,62.0
64.0,64.0,M,71.5
64.0,64.0,M,68.0
64.0,64.0,F,65.5
64.0,64.0,F,64.0
64.0,64.0,F,62.0
64.0,64.0,F,62.0
64.0,64.0,F,61.0
64.0,64.0,M,70.5
64.0,64.0,M,68.0
64.0,64.0,F,67.0
64.0,64.0,F,65.0
64.0,64.0,F,64.0
64.0,64.0,F,64.0
64.0,64.0,F,60.0
64.0,63.0,M,64.5
64.0,60.0,M,66.0
64.0,60.0,F,60.0
62.0,66.0,M,64.0
62.0,66.0,F,62.0
62.0,66.0,F,61.0
62.5,63.0,M,66.5
62.5,63.0,F,57.0
68.5,65.0,M,72.0
68.5,65.0,M,70.5
68.5,65.0,M,68.7
68.5,65.0,M,68.5
68.5,65.0,M,67.7
68.5,65.0,F,64.0
68.5,65.0,F,63.5
68.5,65.0,F,63.0